,Subject,Building,Classroom
0,AEROSPC,Hearst Gym,188
1,AEROSPC,Hearst Gym,188
2,AEROSPC,Hearst Gym,188
3,AEROSPC,Hearst Gym,188
4,AEROSPC,Social Sciences ,126
5,AEROSPC,Hearst Gym,144
6,AEROSPC,Hearst Gym,144
7,AFRICAM,Social Sciences ,80
8,AFRICAM,Evans,39
9,AFRICAM,Social Sciences ,180
10,AFRICAM,Social Sciences ,180
13,AFRICAM,Moffitt Library,145
14,AFRICAM,Social Sciences ,155
15,AFRICAM,Social Sciences ,136
16,AFRICAM,Social Sciences ,20
17,AFRICAM,Social Sciences ,151
18,AFRICAM,Latimer ,102
19,AFRICAM,VLSB ,2038
20,AFRICAM,Social Sciences ,102
21,AFRICAM,Social Sciences ,102
22,AFRICAM,Giannini  ,201
23,AFRICAM,Social Sciences ,50
26,AFRICAM,Social Sciences ,190
27,AFRICAM,Dwinelle ,145
28,AFRICAM,Dwinelle ,106
29,AFRICAM,Dwinelle ,106
30,AFRICAM,Evans,75
31,AFRICAM,Dwinelle ,251
32,AFRICAM,Dwinelle ,251
33,AFRICAM,Social Sciences ,54
34,AFRICAM,Haviland ,321
35,AFRICAM,Dwinelle ,130
36,AFRICAM,Social Sciences ,186
38,AFRICAM,Social Sciences ,180
40,AFRICAM,Social Sciences ,54
41,AFRICAM,Social Sciences ,80
42,AFRICAM,Social Sciences ,151
43,AFRICAM,Social Sciences ,20
44,AFRICAM,Social Sciences ,175
45,AFRICAM,Moffitt Library,145
48,AFRICAM,Lewis ,9
49,AFRICAM,Anthropology and Art Practice,155
50,AFRICAM,Social Sciences ,174
51,AFRICAM,Anthropology and Art Practice,155
52,AFRICAM,Genetics and Plant Biology ,103
53,AFRICAM,Social Sciences ,126
54,AFRICAM,Social Sciences ,151
57,AFRICAM,Dwinelle ,206
58,AFRICAM,Social Sciences ,54
62,AMERSTD,Hearst Mining,390
63,AMERSTD,Social Sciences ,104
64,AMERSTD,Barker ,110
65,AMERSTD,Mulford ,240
66,AMERSTD,Etcheverry ,3106
67,AMERSTD,Anthropology and Art Practice,115
68,AMERSTD,Anthropology and Art Practice,155
69,AMERSTD,Haviland ,214
70,AMERSTD,Anthropology and Art Practice,155
71,AMERSTD,Social Sciences ,587
72,AMERSTD,Wurster ,101
74,AMERSTD,Haviland ,214
75,AMERSTD,Evans,65
77,ANTHRO,Haas,295
78,ANTHRO,Social Sciences ,65
79,ANTHRO,Social Sciences ,65
80,ANTHRO,Social Sciences ,65
81,ANTHRO,Social Sciences ,65
82,ANTHRO,Social Sciences ,65
83,ANTHRO,Social Sciences ,65
84,ANTHRO,Social Sciences ,65
85,ANTHRO,Social Sciences ,65
86,ANTHRO,Social Sciences ,65
87,ANTHRO,Social Sciences ,65
88,ANTHRO,VLSB ,2050
89,ANTHRO,Social Sciences ,74
90,ANTHRO,Social Sciences ,74
92,ANTHRO,Social Sciences ,74
93,ANTHRO,Social Sciences ,74
94,ANTHRO,Social Sciences ,74
96,ANTHRO,Social Sciences ,74
97,ANTHRO,Social Sciences ,74
98,ANTHRO,Social Sciences ,74
99,ANTHRO,Social Sciences ,74
100,ANTHRO,Social Sciences ,74
101,ANTHRO,Social Sciences ,74
102,ANTHRO,Social Sciences ,74
103,ANTHRO,Social Sciences ,74
104,ANTHRO,Social Sciences ,74
105,ANTHRO,Social Sciences ,74
106,ANTHRO,Dwinelle ,155
107,ANTHRO,Social Sciences ,76
108,ANTHRO,Social Sciences ,76
109,ANTHRO,Social Sciences ,76
110,ANTHRO,Social Sciences ,76
111,ANTHRO,Social Sciences ,76
112,ANTHRO,Social Sciences ,76
113,ANTHRO,Social Sciences ,76
114,ANTHRO,Social Sciences ,76
115,ANTHRO,Social Sciences ,76
116,ANTHRO,Social Sciences ,76
117,ANTHRO,Social Sciences ,76
118,ANTHRO,Social Sciences ,76
119,ANTHRO,Social Sciences ,76
120,ANTHRO,Social Sciences ,76
121,ANTHRO,Social Sciences ,76
122,ANTHRO,Social Sciences ,76
123,ANTHRO,Social Sciences ,76
124,ANTHRO,Social Sciences ,76
125,ANTHRO,Social Sciences ,76
126,ANTHRO,Social Sciences ,76
127,ANTHRO,Social Sciences ,76
128,ANTHRO,Social Sciences ,76
129,ANTHRO,Social Sciences ,76
130,ANTHRO,Social Sciences ,76
131,ANTHRO,Social Sciences ,76
132,ANTHRO,Social Sciences ,76
133,ANTHRO,Social Sciences ,76
134,ANTHRO,Social Sciences ,76
136,ANTHRO,Latimer ,121
137,ANTHRO,Latimer ,121
139,ANTHRO,Anthropology and Art Practice,115
143,ANTHRO,Anthropology and Art Practice,221
144,ANTHRO,McCone,145
148,ANTHRO,North Gate,105
149,ANTHRO,Social Sciences ,65
150,ANTHRO,Social Sciences ,65
151,ANTHRO,Social Sciences ,65
152,ANTHRO,Social Sciences ,65
153,ANTHRO,Social Sciences ,65
154,ANTHRO,Social Sciences ,65
155,ANTHRO,Social Sciences ,65
156,ANTHRO,Social Sciences ,65
157,ANTHRO,Physics ,4
167,ANTHRO,Anthropology and Art Practice,155
172,ANTHRO,Anthropology and Art Practice,221
173,ANTHRO,Social Sciences ,61
174,ANTHRO,Social Sciences ,61
175,ANTHRO,Physics ,3
177,ANTHRO,Social Sciences ,65
178,ANTHRO,Social Sciences ,65
179,ANTHRO,Social Sciences ,61
180,ANTHRO,Social Sciences ,61
181,ANTHRO,Mulford ,230
183,ANTHRO,Physics ,3
184,ANTHRO,Anthropology and Art Practice,221
185,ANTHRO,Social Sciences ,170
186,ANTHRO,North Gate,105
193,ANTHRO,Anthropology and Art Practice,160
194,ANTHRO,Anthropology and Art Practice,221
195,ANTHRO,Anthropology and Art Practice,221
198,ANTHRO,Anthropology and Art Practice,155
199,ANTHRO,Evans,3
200,ANTHRO,Dwinelle ,88
201,ANTHRO,McCone,145
202,ARABIC,Social Sciences ,252
203,ARABIC,Social Sciences ,271
204,ARABIC,Dwinelle ,263
205,ARABIC,Social Sciences ,118
206,ARABIC,Social Sciences ,252
207,ARABIC,Social Sciences ,118
208,ARABIC,Social Sciences ,118
210,ARABIC,Social Sciences ,252
211,ARABIC,Social Sciences ,118
213,ARABIC,Dwinelle ,3
214,ARABIC,Social Sciences ,252
215,ARABIC,Social Sciences ,252
216,ARABIC,Social Sciences ,78
217,ARCH,Wurster ,112
218,ARCH,Wurster ,501
219,ARCH,Wurster ,501
220,ARCH,Wurster ,501
221,ARCH,Wurster ,501
222,ARCH,Wurster ,104
223,ARCH,Wurster ,104
224,ARCH,Wurster ,172
225,ARCH,Wurster ,112
226,ARCH,Wurster ,601
227,ARCH,Wurster ,112
228,ARCH,Wurster ,801
229,ARCH,Wurster ,801
230,ARCH,Wurster ,801
231,ARCH,Wurster ,172
232,ARCH,Wurster ,170
234,ARCH,Wurster ,112
235,ARCH,Wurster ,112
236,ARCH,Wurster ,104
237,ARCH,Wurster ,104
238,ARCH,Wurster ,270
239,ARCH,Wurster ,170
240,ARCH,Wurster ,112
241,ARCH,Wurster ,170
242,ARCH,Wurster ,270
243,ARCH,Wurster ,104
244,ARCH,Wurster ,112
245,ARCH,Wurster ,479
246,ARCH,Wurster ,479
247,ARCH,Wurster ,479
248,ARCH,Wurster ,479
249,ARCH,Wurster ,112
250,ARCH,Wurster ,370
251,ARCH,Wurster ,370
252,ARCH,Wurster ,370
253,ARCH,Wurster ,370
254,ARCH,Wurster ,370
255,ARCH,Wurster ,370
256,ARCH,Wurster ,104
257,ARCH,Wurster ,172
258,ARMENI,Dwinelle ,89
259,ARMENI,Dwinelle ,263
260,ART,Stanley ,106
261,ART,Anthropology and Art Practice,395
262,ART,Anthropology and Art Practice,395
263,ART,Anthropology and Art Practice,365
264,ART,Anthropology and Art Practice,355
265,ART,Anthropology and Art Practice,365
268,ART,Anthropology and Art Practice,385
270,ART,Anthropology and Art Practice,165
272,ART,Wurster ,171
274,ART,Anthropology and Art Practice,265
