Academic Yr,Year Term,Semester,Ungrad Grad,Entry Status,College/School,Academic Division,Academic Department,Major Short Nm,Student Headcount,Prorated Student Count
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,130,130
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,391,391
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Applied Sci & Tech Grad Grp,Applied Science & Tech,34,33.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering,116,116
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Bioengineering-UCSF Grad Grp,Bioengineering (UCSF),72,72
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil & Environmental Eng,346,339.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Computer Science,238,236
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,319,317.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,93,92.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng,99,99
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering,337,335.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering,65,64.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,174,171
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,City & Regional Planning,141,127
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Arch & Env Plan,13,12.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,65,60.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Environmental Design,Clg of Environmental Design,Other Env Design Programs,Design,1,1
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Environmental Design,Clg of Environmental Design,Urban Design Grad Grp,Urban Design,7,7
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Anc Hist Med Arc Grad Grp,Anc Hist & Medit Archae,15,15
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Ancient Greek & Roman Studies,Classical Archaeology,4,4
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Ancient Greek & Roman Studies,Classics,30,29.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Art Practice,Art,12,12
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Buddhist Studies Grad Grp,Buddhist Studies,8,8
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Comparative Literature,Comparative Literature,63,63
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,East Asian Lang & Culture,Chinese Language,13,13
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,East Asian Lang & Culture,Japanese Language,18,18
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,English,English,129,125.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Film and Media,Film and Media,29,29
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,French,French,33,32.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,German,German,33,31
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,History of Art,History of Art,54,54
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Italian Studies,Italian Studies,19,18.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Jewish Studies Program,Jewish Studies,12,12
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Medieval Studies Program,Medieval Studies,16,8
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Middle Eastern Lang & Cultures,Near Eastern Studies,22,22
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Music,Music,51,51
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Near Eastern Religions GG,Near Eastern Religions,4,4
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Performance Studies Grad Grp,Performance Studies,23,23
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Philosophy,Philosophy,36,36
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Rhetoric,Rhetoric,50,50
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Romance Lang & Lit Grad Pgm,Romance Lang & Lit,15,14.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Scandinavian,Scandinavian Lang & Lit,11,10.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Slavic Languages & Literatures,Slavic Lang & Lit,22,22
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,South & SE Asian Studies,South & SE Asian Studies,24,24
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Spanish & Portuguese,Hispanic Lang & Lit,29,29
