,Building,Latitude,Longitude,Course Capture,Total Rooms,%
0,Dwinelle ,37.8707,-122.26072,40.0,48,0.8333333333333334
1,Social Sciences ,37.87011,-122.25793,12.0,27,0.4444444444444444
2,Wheeler,37.87129,-122.25942,11.0,21,0.5238095238095238
3,Etcheverry ,37.87568,-122.25928,6.0,8,0.75
4,Moffitt Library,37.8725,-122.2608,5.0,6,0.8333333333333334
5,Physics ,37.87262,-122.25714,4.0,6,0.6666666666666666
6,Cory ,37.87505,-122.25784,4.0,6,0.6666666666666666
7,VLSB ,37.87147,-122.26252,3.0,9,0.3333333333333333
8,Hearst Annex,37.86943,-122.25818,3.0,3,1.0
9,Morgan ,37.87326,-122.26423,2.0,2,1.0
10,Haviland ,37.87382,-122.26112,2.0,3,0.6666666666666666
11,Mulford ,37.87269,-122.26429,2.0,5,0.4
12,Anthropology and Art Practice,37.86983,-122.2552,2.0,3,0.6666666666666666
13,Evans,37.87362,-122.25768,2.0,26,0.07692307692307693
14,Stanley ,37.87402,-122.2561,2.0,3,0.6666666666666666
15,Sutardja Dai,37.874869,-122.258347,2.0,3,0.6666666666666666
16,Barker ,37.87395,-122.26544,2.0,2,1.0
17,Pimentel,37.87342,-122.25603,1.0,1,1.0
18,North Gate,37.87488,-122.25945,1.0,1,1.0
19,Lewis ,37.87308,-122.25524,1.0,2,0.5
20,Tan,37.8731,-122.25646,1.0,1,1.0
21,McCone,37.87412,-122.25971,1.0,1,1.0
22,Li Ka Shing,37.87296,-122.26544,1.0,1,1.0
23,Hearst Mining,37.87448,-122.25729,1.0,2,0.5
24,Latimer ,37.87311,-122.25591,1.0,5,0.2
25,Goldman School of Public Policy,37.87567,-122.25798,1.0,1,1.0
26,Giannini ,37.87351,-122.26231,1.0,3,0.3333333333333333
27,Genetics and Plant Biology ,37.87343,-122.2647,1.0,4,0.25
28,Donner,37.8746,-122.25647,1.0,1,1.0
29,Davis,37.87452,-122.25828,1.0,1,1.0
30,Birge,37.87222,-122.25724,1.0,1,1.0
31,Wurster ,37.87057,-122.2549,1.0,2,0.5
32,Hildebrand ,37.87266,-122.25571,0.0,2,0.0
33,BAMPFA,37.87095,-122.2664,0.0,2,0.0
34,Hearst Gym,37.86959,-122.25661,0.0,2,0.0
35,Haas,37.87156,-122.25365,0.0,1,0.0
36,Cheit ,37.8717,-122.25425,0.0,2,0.0
37,Berkeley Way West,37.87355,-122.26793,0.0,1,0.0
38,Weill,37.87142,-122.26327,0.0,1,0.0
39,Bechtel,37.80648,-122.26363,0.0,1,0.0
